ID,Name,Gender,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
8152,Erick Bernab Barrondo Garca,M,21,178,60,Guatemala,GUA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk,Silver
8204,Mutaz Essa Barshim,M,21,190,65,Qatar,QAT,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,Bronze
8214,Jacob Jepsen Barse,M,23,188,73,Denmark,DEN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
8234,Danka Bartekov,F,27,170,55,Slovakia,SVK,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Skeet,Bronze
8299,Laura Bartlett,F,24,169,63,Great Britain,GBR,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Bronze
8304,"Christopher Roger ""Chris"" Bartley",M,28,178,72,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
8386,Anastasiya Vladimirovna Baryshnikova,F,21,173,67,Russia,RUS,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Heavyweight,Bronze
8443,Clara Basiana Caellas,F,21,170,39,Spain,ESP,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
8590,Suzy Batkovic (-Brown),F,31,195,89,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze
8639,Romano Battisti,M,25,190,91,Italy,ITA,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Double Sculls,Silver
8729,Grgory Benot Baug,M,27,181,100,France,FRA,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Sprint,Silver
8729,Grgory Benot Baug,M,27,181,100,France,FRA,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Team Sprint,Silver
8818,"Dorothy Lee ""Dotsie"" Bausch (Cowden-)",F,39,175,59,United States,USA,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Team Pursuit,Silver
8936,Rvn Bayramov,M,25,160,59,Azerbaijan,AZE,2012 Summer,2012,Summer,London,Wrestling,Wrestling Men's Featherweight  Greco-Roman,Silver
9013,Gemma Beadsworth,F,25,180,78,Australia,AUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze
9111,Anna Rose Bebington-Watkins,F,29,183,78,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Double Sculls,Gold
9154,Laura Bechtolsheimer (-Tomlinson),F,27,169,56,Great Britain,GBR,2012 Summer,2012,Summer,London,Equestrianism,Equestrianism Mixed Dressage  Individual,Bronze
9154,Laura Bechtolsheimer (-Tomlinson),F,27,169,56,Great Britain,GBR,2012 Summer,2012,Summer,London,Equestrianism,Equestrianism Mixed Dressage  Team,Gold
9450,Clmence Beikes,F,28,180,71,France,FRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Silver
9460,Elizabeth Lyon Beisel,F,19,168,68,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Backstroke,Bronze
9460,Elizabeth Lyon Beisel,F,19,168,68,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Individual Medley,Silver
